Application,Launcher,Path,Icon Name
GnomeKiSS,gnomekiss,/usr/share/pixmaps/gnomekiss/gnome-kiss.png,gnome-kiss
GNS3,gns3,/usr/share/pixmaps/gns3.xpm,gns3
GNU Emacs 23,emacs23,/usr/share/icons/hicolor/scalable/apps/emacs23.svg,emacs
GNU Emacs 24,emacs24,/usr/share/icons/hicolor/scalable/apps/emacs24.svg,emacs
GNU Octave,www.octave.org-octave,/usr/share/octave/3.8.2/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/3.6.4/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/3.8.1/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/4.0.0/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/4.0.1/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/4.0.2/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/4.0.3/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/4.0.4/imagelib/octave-logo.svg,octave
GNU Octave,www.octave.org-octave,/usr/share/octave/3.6.2/imagelib/octave-logo.svg,octave
GNU Paint,gpaint,gpaint.svg,gpaint
GNUbik,gnubik,gnubik.png,gnubik
GNUbik,gnubik,/usr/share/pixmaps/gnubik.xpm,gnubik
GNUDoQ,gnudoq,/usr/share/pixmaps/gnudoq-icon.xpm,gnudoq-icon
GNUMail,GNUMail,/usr/share/GNUstep/GNUMail.app/GNUMail.tiff,gnumail.app
GNUSim8085,GNUSim8085,/usr/share/icons/hicolor/scalable/apps/gnusim8085.svg,gnusim8085
Go Terminal,sophiware-goterminal,/opt/goterminal/resources/app/icon.ico,goterminal
GoldenCheetah,GoldenCheetah,/usr/share/pixmaps/gc.png,goldencheetah
GoldenDict,goldendict,/usr/share/pixmaps/goldendict.png,goldendict
Gone Home,Gone Home,steam,steam_icon_232430
Google Drive,grive-setup,/opt/thefanclub/grive-tools/GoogleDrive.png,google-drive
Google Drive,grive,/opt/thefanclub/grive-tools/GoogleDrive.png,GoogleDrive
Google Drive Indicator,grive-indicator,/opt/thefanclub/grive-tools/GoogleDrive.png,google-drive
Google Drive Indicator,grive-indicator,/opt/thefanclub/grive-tools/GoogleDrive.png,GoogleDrive
Google Earth,googleearth,/usr/share/pixmaps/googleearth.xpm,googleearth
Gorm,Gorm,/usr/lib/GNUstep/Applications/Gorm.app/Resources/Gorm.tiff,gorm.app
GostCrypt,gostcrypt,/usr/share/Gostcrypt/icons/GostCrypt-48x48.png,gostcrypt
GPixPod,GPixPod,/usr/share/gpixpod/GPixPod_icon.png,GPixPod_icon
GPRename,gprename,/usr/share/pixmaps/gprename/gprename.png,gprename
GpsPrune,gpsprune,/usr/share/pixmaps/gpsprune.xpm,gpsprune
Grace GTK,gracegtk,/usr/share/pixmaps/gracegtk.png,grace
Graphical Disk Map,gdmap,gdmap_icon.png,gdmap_icon
GRASS GIS,grass,/usr/share/icons/grass-64x64.png,grass
Greenfoot,greenfoot,/usr/share/java/greenfoot/images/greenfoot-icon-48.png,greenfoot
gResistor,gresistor,/usr/share/gresistor/icon.png,gresistor
gretl,gretl,gretl.xpm,gretl
gretl,gretl,/usr/share/pixmaps/gretl.xpm,gretl
Gridlock,Gridlock,/usr/lib/GNUstep/Applications/Gridlock.app/Resources/Gridlock.tiff,Gridlock
Gringotts,gringotts,/usr/share/pixmaps/gringotts.xpm,gringotts
Grisbi,grisbi,/usr/share/pixmaps/grisbi/grisbi.svg,grisbi
Grisbi,grisbi,/usr/share/pixmaps/grisbi/grisbi.xpm,grisbi
Grive Setup,grive,/opt/thefanclub/grive-tools/grive.png,google-drive
Grive Setup,grive-setup,/opt/thefanclub/grive-tools/grive.png,grive
Grr Feed Reader,Grr,/usr/share/pixmaps/Grr.xpm,Grr
Grsync,grsync,grsync.png,grsync
GShutdown,gshutdown,/usr/share/pixmaps/gshutdown.png,gshutdown
Gsopcast,gsopcast,gsopcast.png,gsopcast
GTAMSAnalyzer,GTAMSAnalyzer,/usr/lib/GNUstep/Applications/GTAMSAnalyzer.app/Resources/largeApp.tif,largeApp
GTick,gtick,/usr/share/icons/hicolor/64x64/apps/gtick.xpm,gtick
GTimeLog,gtimelog,/usr/share/pyshared/gtimelog/gtimelog.png,gtimelog
GTimeLog Time Tracker,gtimelog,/usr/share/pyshared/gtimelog/gtimelog.png,gtimelog
GTK Smith Chart Calculator,gsmc,mini-gsmc.xpm,mini-gsmc
Gtk VNC Viewer,gtkvncviewer,/usr/share/gtkvncviewer/data/gtkvncviewer_64.png,gtkvncviewer
Gtk VNC Viewer,data-gtkvncviewer,/usr/share/gtkvncviewer/data/gtkvncviewer_64.png,gtkvncviewer
Gtk-ChTheme,gtk-chtheme,/usr/share/pixmaps/gtk-chtheme.xpm,gtk-chtheme
gtk-recordMyDesktop,gtk-recordmydesktop.desktop,gtk-recordmydesktop.png,gtk-recordmydesktop
Guake,guake,/usr/share/pixmaps/guake/guake.png,guake
guidata-tests,guidata-tests,/usr/share/pyshared/guidata/images/guidata.svg,guidata
guiqwt-tests,guiqwt-tests,/usr/share/pyshared/guiqwt/images/guiqwt.png,guiqwt
GUVC View,guvcview,/usr/share/pixmaps/guvcview/guvcview.png,guvcview
guvcview,guvcview,/usr/share/pixmaps/guvcview/guvcview.png,guvcview
gv,gv,/usr/share/pixmaps/gv_icon.xpm,gv_icon
Gvb,gvb,gvb.svg,gvb
GvRng,gvrng,/usr/share/GvRng/bitmaps/gvrIcon-big.png,gvrIcon-big
gWakeOnLan,gwakeonlan,/usr/share/gwakeonlan/gwakeonlan.svg,gwakeonlan
GWorkspace,GWorkspace,FileManager.tiff,FileManager
Gwyddion,gwyddion,/usr/share/icons/hicolor/48x48/apps/gwyddion.png,gwyddion
Hardinfo,hardinfo,/usr/share/hardinfo/pixmaps/logo.png,hardinfo
HasciiCam,hasciicam,hasciicam.png,hasciicam
HDHomeRun Config GUI,hdhr,/usr/share/pixmaps/hdhr.xpm,hdhr
Help,helppanelplugin,,help
HelpViewer,HelpViewer,/usr/share/pixmaps/HelpViewer.xpm,HelpViewer
Hephaestus,hephaestus,/usr/share/pixmaps/hephaestus.xpm,hephaestus
Hexen 2,hexen2,hexen2.png,hexen2
Hexen 2,uhexen2-hexen2,hexen2.png,hexen2
Hexter,hexter,/usr/share/pixmaps/hexter.xpm,hexter
Hipchat,atlassian-hipchat,hipchat.png,hipchat
Hira Drill,kanadic-fullkatahira,/usr/share/pixmaps/kdrill.xpm,kdrill
Hira+ Drill,kanadic-hira,/usr/share/pixmaps/kdrill.xpm,kdrill
HotelDruid,hoteldruid-launcher,hoteldruid.png,hoteldruid
Hotline Miami,Hotline Miami,steam,steam_icon_219150
HotShots,hotshots,/usr/share/pixmaps/hotshots.png,hotshots
HP Device Manage,hplip,/usr/share/hplip/data/images/128x128/hp_logo.png,hp_logo
HP Lip,hplip,/usr/share/hplip/data/images/128x128/hp_logo.png,hp_logo
HP Printer,hplj1020,/usr/share/pixmaps/hplj1020_icon.png,hplj1020_icon
HPLIP Fax Utility,hp-sendfax,/usr/share/hplip/data/images/128x128/hp_logo.png,hp_logo
HPLIP Fax Utility,hp-sendfax,/usr/share/pixmaps/HPmenu.xpm,HPmenu
HPLIP Toolbox,hplip,/usr/share/pixmaps/HPmenu.xpm,HPmenu
HPLIP Toolbox,hplip,/usr/share/hplip/data/images/128x128/hp_logo.png,hp_logo
HPLIP Toolbox,hplip-kubuntu,/usr/share/pixmaps/hp-logo.xpm,HPmenu
HTTraQt,httraqt,httraqt.xpm,httraqt
Hud Gui,hud-gui,,hud-gui
I Have No Tomatoes,tomatoes,/usr/share/pixmaps/tomatoes/icon.png,tomatoes
I-Nex,i-nex,/usr/share/pixmaps/i-nex-128.png,i-nex-128
I-Nex Library,i-nex-library,/usr/share/pixmaps/i-nex-128.png,i-nex-128
IBus Bopomofo Preferences,ibus-setup-bopomofo,/usr/share/ibus-pinyin/icons/ibus-bopomofo.svg,ibus-bopomofo
IBus Input Pad Setup,ibus-setup-input-pad,/usr/share/pixmaps/input-pad.png,input-pad
IBus LibBopomofo Preferences,ibus-setup-libbopomofo,/usr/share/ibus-libpinyin/icons/ibus-bopomofo.svg,ibus-bopomofo
IBus LibBopomofo Preferences,ibus-setup-libbopomofo,,ibus-bopomofo
IBus LibPinyin Setup,ibus-setup-libpinyin,/usr/share/ibus-libpinyin/icons/ibus-pinyin.svg,ibus-pinyin
IBus LibZhuyin Setup,ibus-setup-libzhuyin,/usr/share/ibus-libzhuyin/icons/ibus-zhuyin.svg,ibus-zhuyin
IBus Pinyin Setup,ibus-setup-pinyin,/usr/share/ibus-pinyin/icons/ibus-pinyin.svg,ibus-pinyin
IBus SKK Setup,ibus-setup-skk,/usr/share/ibus-skk/icons/ibus-skk.svg,ibus-skk
IBus Table Setup,ibus-setup-table,/usr/share/ibus-table/icons/chinese.svg,chinese
IBus Typing Booster Setup,ibus-setup-typing-booster,/usr/share/ibus-typing-booster/icons/ibus-hunspell-table.svg,ibus-hunspell-table
ibus-sharada-braille-abbreviation-editor,ibus-sharada-braille-abbreviation-editor,/usr/share/ibus-sharada-braille/icons/ibus-sharada-braille.png,ibus-sharada-braille
ibus-sharada-braille-language-editor,ibus-sharada-braille-language-editor,/usr/share/ibus-sharada-braille/icons/ibus-sharada-braille.png,ibus-sharada-braille
ibus-sharada-braille-preferences,ibus-sharada-braille-preferences,/usr/share/ibus-sharada-braille/icons/ibus-sharada-braille.png,ibus-sharada-braille
IDLE,idle,/usr/share/pixmaps/idle.xpm,python-idle
IDLE (Python 2.7),idle-python2.7,/usr/share/pixmaps/python2.7.xpm,python-idle
IDLE (Python 3.2),idle-python3.2,/usr/share/pixmaps/python3.2.xpm,python-idle
IDLE (Python 3.3),idle-python3.3,/usr/share/pixmaps/python3.3.xpm,python-idle
IDLE (Python 3.4),idle-python3.4,/usr/share/pixmaps/python3.4.xpm,python-idle
IDLE (Python 3.5),idle-python3.5,/usr/share/pixmaps/python3.5.xpm,python-idle
IDLE (Python 3.6),idle-python3.6,/usr/share/pixmaps/python3.6.xpm,python-idle
IDLE 3,idle3,/usr/share/pixmaps/idle3.xpm,python-idle
ifpgui,ifpgui,,ifpgui
Image Magick,display.im6,display.im6,imagemagick
ImageMagick (display),display.im6,/usr/share/pixmaps/display.im6.xpm,display.im6
indicator-china-weather,indicator-china-weather,chinaweather.png,chinaweather
Input Method,uim,/usr/share/uim/pixmaps/uim-icon.png,uim-icon
Intel Graphics Installer,intel-linux-graphics-installer,/usr/share/intel-linux-graphics-installer/images/logo.png,intel-installer
Intel Graphics Installer,intel-graphics-update-tool,/usr/share/intel-linux-graphics-installer/images/logo.png,intel-installer
Intellij IDE,intellij-idea,hardcoded,idea
Intellij IDE,jetbrains-idea,hardcoded,idea
Intellij IDE,jetbrains-idea-ce,hardcoded,idea
Intellij IDE,idea,/opt/idea/bin/idea.png,idea
Intellij IDE,intellij-idea,/opt/idea-IC/bin/idea.png,idea
Internet DJ Console,idjc,/usr/share/pixmaps/idjc.png,idjc
IPython/Jupyter QtConsole,ipython-qtconsole,gnome-netstatus-idle,ipython
IPython/Jupyter QtConsole,jupyter-qtconsole,gnome-netstatus-idle,ipython
IPYthon/Jupyter QtConsole,jupyter-qtconsole,/usr/lib/python3.5/site-packages/qtconsole/resources/icon/JupyterConsole.svg,ipython
ISO Master,isomaster,/usr/share/isomaster/icons/isomaster.png,isomaster
ISO Master,isomaster,/usr/share/icons/isomaster/isomaster.png,isomaster
Itch.io,itch,itch.png,itch
J-Pilot,jpilot,jpilot.xpm,jpilot
JabRef,jabref,/usr/share/pixmaps/jabref32.xpm,jabref
JACK Timemachine,timemachine,/usr/share/timemachine/pixmaps/timemachine-icon.png,timemachine-icon
JACK Timemachine,timemachine,,timemachine-icon
JackEQ,jackeq,/usr/share/jackeq/thai-gold.png,thai-gold
JAMin,jamin,jamin.svg,jamin
JavaMorph,javamorph,/usr/share/pixmaps/JavaMorph.xpm,JavaMorph
jfractionlab,jfractionlab,/usr/share/jfractionlab/images/jfractionlab_icon.svg,jfractionlab_icon
JFractionLab,JFractionLab,/usr/share/jfractionlab/images/jfractionlab_icon.svg,jfractionlab_icon
Jitsi,jitsi,/usr/share/pixmaps/jitsi.svg,jitsi
JMeter,jmeter,/usr/share/pixmaps/jmeter.jpg,jmeter
Joxi,joxi,/opt/joxi/icon_64.png,joxi
Jump'n'Bump,jumpnbump,/usr/share/pixmaps/jumpnbump.xpm,jumpnbump
K-3D,k3d,/usr/share/k3d/icons/k3d.png,k3d
K3DSurf,k3dsurf,/usr/share/pixmaps/k3dsurf.xpm,k3dsurf
Kabikaboo,kabikaboo,/usr/share/kabikaboo/kabikaboo.png,kabikaboo
Kana Kanji Conversion Preferences,ibus-setup-kkc,/usr/share/ibus-kkc/icons/ibus-kkc.svg,ibus-kkc
Kata Drill,kanadic-kataplus,/usr/share/pixmaps/kdrill.xpm,kdrill
Kata+ Drill,kanadic-hiraplus,/usr/share/pixmaps/kdrill.xpm,kdrill
Katoob,katoob,katoob-icon.pmg,katoob-icon
Kayali,kayali,kayali.svg,kayali
KDrill,kdrill,/usr/share/pixmaps/kdrill.xpm,kdrill
Kerbal Space Program,Kerbal Space Program,steam,steam_icon_220200
KeyTouch Editor,keytouch-editor,/usr/share/keytouch-editor/pixmaps/icon.png,keytouch
KLatexFormula,klatexformula,/usr/share/pixmaps//klatexformula-64.png,klatexformula
Klavaro,klavaro,/usr/share/icons/hicolor/24x24/apps/klavaro.png,klavaro
Komodo Edit,komodo-edit,/opt/komodo-edit/share/icons/komodo48.png,komodo
Krank,krank,/usr/share/games/krank/krank.xpm,krank
L2TP Ipsec VPN Applet,L2tpIPsecVpn-Applet,/usr/share/L2tpIPsecVpn/logo.png,l2tp-ipsec-vpn
L2TP Ipsec VPN Manager,L2TP-Ipsec-VPN-Manager,/usr/share/L2tpIPsecVpn/logo.png,l2tp-ipsec-vpn
LaTeXDraw,latexdraw,/usr/share/pixmaps/latexdraw32.xpm,latexdraw
Layout Editor,layout,/usr/share/icons/hicolor/48x48/apps/layout.png,layout
Layout Editor,layout,layout.png,layout
Le Biniou,lebiniou,/usr/share/pixmaps/lebiniou.xpm,lebiniou
Left 4 Dead 2,Left 4 Dead 2,steam,steam_icon_550
Left 4 Dead 2 (beta),Left 4 Dead 2 Beta,steam,steam_icon_223530
LetoDMS,letodms,logo_letodms_32x32.xpm,logo_letodms_32x32
LGeneral,lgeneral,/usr/share/pixmaps/lgeneral48.png,lgeneral
Lightworks,lightworks,/usr/share/lightworks/Icons/App.png,lightworks
Lincity,lincity,/usr/share/pixmaps/lincity.xpm,lincity
Lincity-NG,lincity-ng,lincity-ng.png,lincity-ng
Lingot,lingot,/usr/share/pixmaps/lingot/lingot-icon.svg,lingot-icon
LinkChecker Commandline,linkchecker,logo48x48,linkchecker
LinkChecker Gui,linkchecker-gui,logo48x48,linkchecker
Linphone,linphone,/usr/share/pixmaps/linphone/linphone.png,linphone
Linsmith,linsmith,/usr/share/pixmaps/linsmith/linsmith_icon.xpm,linsmith
LinSSID,linssid,/usr/share/pixmaps/linssid48.png,linssid
Little Inferno,Little Inferno,steam,steam_icon_221260
Little Wizard,littlewizard,/usr/share/pixmaps/littlewizard/littlewizard-icon.png,littlewizard-icon
Logical Volume Management,system-config-lvm,/usr/share/system-config-lvm/pixmaps/lv_icon.png,lv_icon
Logout,logout,/usr/share/unity/icons/logout_highlight.png,system-logout
LRF Viewer,lrfviewer,calibre,calibre-gui
LTris,ltris,/usr/share/icons/ltris48.gif,ltris
Ltris,ltris,/usr/share/icons/ltris48.gif,ltris
Lucky Backup,luckybackup,/usr/share/pixmaps/luckybackup.png,luckybackup
Lucky Backup (GNOME),luckybackup-gnome-su,/usr/share/pixmaps/luckybackup.png,luckybackup
Lucky Backup (KDE),luckybackup-kde-su,/usr/share/pixmaps/luckybackup.png,luckybackup
luckyBackup,luckybackup,/usr/share/pixmaps/luckybackup.png,luckybackup
luckyBackup (super user),luckybackup-gnome-su,/usr/share/pixmaps/luckybackup.png,luckybackup
LuserNET News Reader,LuserNET,/usr/share/GNUstep/LuserNET.app/News.app.tiff,News.app
LuxRender,luxrender,/usr/share/pixmaps/luxrender.svg,luxrender
Lxkeymap,lxkeymap,/usr/share/lxkeymap/media/icon.png,lxkeymap
Lynkeos Image Processor,Lynkeos,/usr/lib/GNUstep/Applications/Lynkeos.app/Resources/Lynkeos.png,lynkeos.app
Lyricue,lyricue,/usr/share/lyricue/lyricue-icon.png,lyricue
Lyricue Server,lyricue_display,/usr/share/lyricue/lyricue-icon.png,lyricue
Maelstrom,maelstrom,/usr/share/games/maelstrom/icon32.xpm,maelstrom
Magicor,magicor,/usr/share/pixmaps/magicor.png,magicor
MailNag,mailnag_config,/usr/share/mailnag/mailnag.svg,mailnag
MakeHuman,makehuman,/usr/share/makehuman/icons/makehuman.svg,makehuman
Mancy,mancy,/usr/share/mancy/icons/mancy.png,mancy
Mandelbulber,mandelbulber,/usr/share/mandelbulber/icons/mandelbulber.png,mandelbulber
Maps,maps,/usr/share/maps/media/maps.svg,maps
Maps,maps,/usr/share/openstreetmap-client/media/maps.svg,openstreetmap
Master PDF Editor,MasterPdfEditor,/opt/master-pdf-editor/master-pdf-editor.png,master-pdf-editor
Master PDF Editor 3,MasterPdfEditor,/opt/master-pdf-editor-3/masterpdfeditor3.png,masterpdfeditor3
Master PDF Editor 3,masterpdfeditor3,/opt/master-pdf-editor-3/masterpdfeditor3.png,masterpdfeditor3
Master PDF Editor 3,masterpdfeditor3,masterpdfeditor3.png,masterpdfeditor3
Master PDF Editor 4,MasterPDFEditor,/opt/master-pdf-editor-4/masterpdfeditor4.png,masterpdfeditor
MATE,mate,,start-here-mate
Matita,matita,/usr/share/matita/icons/matita.png,matita
Matlab,matlab,/usr/share/icons/hicolor/48x48/apps/matlab.png,matlab
Matlab 2013b,matlab2013b,/opt/MATLAB/R2013b/X11/icons/matlab48c_icon.xpm,matlab
Media Player,mediaplayer-app,/usr/share/mediaplayer-app/mediaplayer-app.png,mediaplayer-app
MediaElch,MediaElch,/usr/share/pixmaps/MediaElch.png,mediaelch
MediaImporter,MediaImporter,/usr/share/pixelmed/icons/MediaImporter.png,MediaImporter
Melange,cream-melange,/usr/share/cream/org.cream.Melange/data/melange.png,melange
MeMaker,memaker,/usr/share/memaker/data/logo.svg,memaker
MeshLab,meshlab,/usr/share/pixmaps/meshlab_32x32.xpm,meshlab
Messaging,messaging-app,/usr/share/messaging-app/assets/messaging-app.png,messaging-app
MGM System Monitor,mgm,/usr/share/pixmaps/mgm.xpm,mgm
mialmpick Version  0.2.10,mia-lmpick,/usr/share/pixmaps/mialmpick/,mialmpick
MicroPeak,altusmetrum-micropeak,/usr/share/icons/hicolor/scalable/apps/altusmetrum-micropeak.svg,altusmetrum-micropeak
Micropolis,micropolis,/usr/share/icons/Micropolis.png,Micropolis
MidiEditor,MidiEditor,midieditor.png,midieditor
mikutter,mikutter,/usr/share/mikutter/core/skin/data/icon.png,mikutter
Mines,Mines,/usr/lib/GNUstep/Applications/Mines.app/Resources/Mines.tiff,Mines
Mint Audio Tag,audio-tag-tool,/usr/lib/linuxmint/mintInstall/icon.svg,audio-tag-tool
Mint Backup,mintbackup,/usr/lib/linuxmint/mintBackup/icon.png,mintbackup
Mint Backup,mintbackup,/usr/lib/linuxmint/mintBackup/icon.svg,mintbackup
Mint Backup,mintBackup,/usr/lib/linuxmint/mintBackup/icon.png,mintbackup
Mint Backup,mintBackup,/usr/lib/linuxmint/mintBackup/icon.svg,mintbackup
Mint Backup,mintbackup,/usr/share/pixmaps/mintbackup/icon.svg,mintbackup
Mint Backup,mintBackup_mime,/usr/lib/linuxmint/mintBackup/icon.png,mintbackup
Mint Backup,mintBackup_mime,/usr/lib/linuxmint/mintBackup/icon.svg,mintbackup
Mint Backup,mintbackup_mime,/usr/share/pixmaps/mintbackup/icon.svg,mintbackup
Mint Backup,mintbackup_mime,/usr/share/pixmaps/mintbackup/icon.png,mintbackup
Mint Drivers,mintdrivers,/usr/share/icons/hicolor/scalable/apps/driver-manager.svg,driver-manager
Mint Drivers,mintdrivers,/usr/share/pixmaps/mintdrivers.svg,driver-manager
Mint Nanny,mintNanny,/usr/lib/linuxmint/mintNanny/icon.svg,mintNanny
Mint Software Manager,software-manager,/usr/lib/linuxmint/mintInstall/icon.svg,software-manager
Mint Software Manager,mintInstall,/usr/lib/linuxmint/mintInstall/icon.svg,software-manager
Mint Software Manager,mintinstall,/usr/share/pixmaps/mintinstall.svg,mintinstall
Mint Software Sources,software-sources,/usr/share/icons/hicolor/scalable/apps/software-sources.svg,software-sources
Mint Software Sources,mintsources,/usr/share/icons/hicolor/scalable/apps/software-sources.svg,software-sources
Mint Software Sources,mintsources,/usr/share/pixmaps/mintsources.svg,software-sources
Mint Update Manager,mintUpdate,/usr/lib/linuxmint/mintUpdate/icons/base.svg,mintUpdate
Mint Upload Manager,mintupload,/usr/lib/linuxmint/mintUpload/icon.svg,mintUpload
Mint Upload Manager,mintupload,/usr/share/pixmaps/mintupload/icon.svg,mintUpload
MirrorMagic,mirrormagic,/usr/share/games/mirrormagic/graphics/mirrormagic.xpm,mirrormagic
MirrorMagic,mirrormagic,,mirrormagic
MKV Extractor GUI,mkv-extractor-gui,/usr/share/icons/hicolor/256x256/apps/mkv-extractor-gui.png,mkv-extractor-gui
Mobile Atlas Creator,mobile-atlas-creator,,mobile-atlas-creator
Mobile Atlas Creator,mobile-atlas-creator,/usr/share/pixmaps/mobile-atlas-creator/mobac.xpm,mobac
Model Builder,model-builder,/usr/share/pixmaps/MB.ico,mb
Modem Manager GUI,modem-manager-gui,/usr/share/pixmaps/modem-manager-gui.png,modem-manager-gui
Money Manager Ex,mmex,/usr/share/icons/hicolor/scalable/apps/mmex.svg,mmex
Monsterz,monsterz,/usr/share/games/monsterz/graphics/icon.png,monsterz
Movie creator ffDiaporama,ffDiaporama,/usr/share/ffDiaporama/application-ffDiaporama.png,ffdiaporama
Mozc Setup,setup-mozc,/usr/share/icons/mozc/ime_product_icon_opensource-32.png,mozc
Mp3splt-gtk audio splitter,mp3splt-gtk,/usr/share/pixmaps/mp3splt-gtk_ico.svg,mp3splt-gtk_ico
MPDCon,MPDCon,/usr/lib/GNUstep/Applications/MPDCon.app/Resources/MPDCon.tiff,mpdcon.app
MRview,mrtrix,/usr/share/pixmaps/mrtrix.xpm,mrtrix
MultiBootUSB,multibootusb,/usr/share/pixmaps/multibootusb.png,multibootusb
MultiBootUSB,multibootusb,multibootusb.png,multibootusb
MultiGet,multiget,/usr/share/pixmaps/multiget_48.xpm,multiget
Mundus,mundus,/usr/share/pixmaps/mundus.svg,mundus
MX Find Shares,mx-findshares,mx-findshares.png,mx-findshares
My Weather Indicator,my-weather-indicator,/opt/extras.ubuntu.com/my-weather-indicator/share/pixmaps/my-weather-indicator.png,my-weather-indicator
My Weather Indicator (extras),extras-my-weather-indicator,/opt/extras.ubuntu.com/my-weather-indicator/share/pixmaps/my-weather-indicator.png,my-weather-indicator
MyNotex,MyNotex,mynotex.png,mynotex
MyNotex,MyNotex,/opt/mynotex/icon.png,mynotex
MythNetTV,mythnettv,/usr/share/mythnettv-gui/mythnettv-gui-logo.svg,mythnettv-gui
MyTourbook,mytourbook,mytourbook.xpm,mytourbook
nagstamon,nagstamon,/usr/share/nagstamon/Nagstamon/resources/nagstamon.svg,nagstamon
Nagstamon,nagstamon,/usr/share/pixmaps/nagstamon.svg,nagstamon
Nagstamon,nagstamon,/usr/share/nagstamon/Nagstamon/resources/nagstamon.svg,nagstamon
National Geographic Wallpaper,extras-national-geographic-wallpaper,/opt/extras.ubuntu.com/national-geographic-wallpaper/share/icons/national-geographic-wallpaper.svg,national-geographic-wallpaper
Natural Selection 2,Natural Selection 2,steam,steam_icon_4920
Nautilus scripts manager,nautilus-scripts-manager,nautilus-scripts-manager.svg,nautilus-scripts-manager
needrestart,needrestart,/usr/share/needrestart-session/needrestart.svg,needrestart
needrestart-session,needrestart-session,/usr/share/needrestart-session/needrestart.svg,needrestart
Nekobee,nekobee,,nekobee
NetApplet,net_applet,/usr/share/libDrakX/pixmaps/connected.png,netapplet
Netbeans IDE,netbeans,/usr/share/netbeans/7.0.1/nb/netbeans.png,netbeans
Netbeans IDE,netbeans,/usr/share/netbeans/8.0/nb/netbeans.png,netbeans
Netbeans IDE,netbeans-8.0.1,/usr/share/netbeans/8.0.1/nb/netbeans.png,netbeans
NetEmul,netemul,/usr/share/netemul/pixmap/NetEmul.png,netemul
Netflix,netflix,/var/lib/wine-browser-installer/NetflixIcon.png,netflix
Netrek,netrek-client-cow,/usr/share/pixmaps/netrek-client-cow/icon.png,netrek-client-cow
Network Center,draknetcenter,/usr/share/mcc/themes/default/netcenter.png,netcenter
NetWorx,networx,networx.png,networx
Ninja IDE,ninja-ide,/usr/share/ninja-ide/img/icon.png,ninja-ide
Nitro Tasks,nitrotasks,/usr/share/nitrotasks/media/nitrotasks.png,nitrotasks
NmapSI4 - Full mode,nmapsi4-admin,/usr/share/icons/hicolor/32x32/apps/nmapsi4.png,nmapsi4
NmapSI4 - User mode,nmapsi4,/usr/share/icons/hicolor/32x32/apps/nmapsi4.png,nmapsi4
Notes,notes-app,/usr/share/notes-app/notepad@30.png,notes-app
NotifyOSD,notifyosdconf,/usr/share/notifyosdconf/not.png,notifyconf
Nsight Eclipse Edition,nsight,/opt/cuda/libnsight/icon.xpm,nsight
NUnit,nunit,/usr/share/icons/NUnit/nunit.ico,nunit
Nvidia Settings,nvidia-settings,/usr/share/pixmaps/nvidia-settings.png,nvidia-settings
NVIDIA Visual Profiler,nvvp,/opt/cuda/libnvvp/icon.xpm,nvvp
NVIDIA X Server Settings,nvidia-settings,/usr/share/doc/NVIDIA_GLX-1.0/nvidia-settings.png,nvidia-settings
Nymgo,nymgo,nymgo.png,nymgo
OCRFeeder,ocrfeeder,/usr/share/ocrfeeder/icons/ocrfeeder.svg,ocrfeeder
OmegaT,omegat,/usr/share/omegat/images/OmegaT.xpm,omegat
OnionShare,onionshare,/usr/share/pixmaps/onionshare80.xpm,onionshare80
Online Accounts,online-accounts-ui,,preferences-online-accounts
Online Accounts,online-accounts-ui,,online-accounts-ui
Openbox Settings,obconf-qt,/usr/share/pixmaps/obconf-qt.png,obconf-qt
openMSX,openmsx,/usr/share/openmsx/icons/openMSX-logo-128.png,openMSX-logo
openMSX Catapult,openMSX-Catapult,/usr/share/openmsx-catapult/resources/bitmaps/about.png,openMSX-catapult
OpenRocket,openrocket,/usr/share/pixmaps/openrocket.xpm,openrocket
openSCAD,openscad,/usr/share/pixmaps/openscad.png,openscad
Opensong,opensong,/opt/OpenSong/opensong.xpm,opensong
OpenVAS-Client,OpenVAS-Client,OpenVAS-Client.xpm,OpenVAS-Client
OptGeo,optgeo,/usr/share/pixmaps/optgeo-48.png,optgeo
Oregano,oregano,gnome-oregano.svg,gnome-oregano
OS-Uninstaller,os-uninstaller,/usr/share/boot-sav/x-os-uninstaller.png,x-os-uninstaller
Oscilloscope,ll-scope,/usr/lib/dssi/ll-scope/icon.png,oscilloscope
oStorybook,oStorybook,/usr/share/oStorybook/oStorybook-icon.png,ostorybook
Out Of Order,out-of-order,/usr/share/pixmaps/out-of-order.xpm,out-of-order
OVITO,ovito,/usr/share/ovito/ovito_icon.png,ovito
Pacemaker GUI,crm_gui,/usr/share/heartbeat-gui/ha.png,ha
Packettracer,packettracer,/usr/share/icons/packettracer.jpeg,packettracer
Pacman for Console,pacman4console,pacman4console.xpm,pacman4console
